product,brand,budget,use_case,urgency,decision_stage,sentiment_score,confidence_score,hesitation_score,feature_count,brand_count,price_sensitivity,interaction_length,conversion
television,whirlpool,292000,travel,soon,mid,0.87,0.96,0.08,4,3,high,1,0
smartphone,sony,9000,professional,flexible,late,0.59,0.29,0.59,8,5,high,8,0
smartphone,bosch,30000,entertainment,flexible,decision,0.43,0.6,0.16,4,4,medium,6,1
monitor,bosch,15000,entertainment,exploring,decision,0.25,0.32,0.66,8,4,high,5,1
tablet,jbl,28000,streaming,flexible,early,0.58,0.94,0.03,8,1,medium,1,1
keyboard,samsung,2000,entertainment,no_rush,decision,0.06,0.05,0.95,1,1,high,4,0
headphones,bosch,4000,work_from_home,no_rush,early,0.1,0.05,0.89,7,5,medium,10,0
keyboard,oneplus,7000,study,soon,mid,0.58,0.73,0.12,2,2,low,4,0
air_conditioner,lg,22000,casual,flexible,early,0.66,0.44,0.05,8,1,high,7,0
keyboard,lenovo,7000,streaming,soon,mid,0.38,0.09,0.91,1,5,high,1,1
monitor,dell,32000,photography,no_rush,late,0.12,0.46,0.24,6,4,low,5,0
microwave,apple,25000,entertainment,soon,awareness,0.54,0.46,0.85,1,4,high,7,1
television,canon,148000,entertainment,no_rush,late,0.82,0.92,0.1,7,3,low,6,1
camera,canon,88000,business,exploring,decision,0.71,0.47,0.77,1,3,medium,2,0
air_conditioner,bose,54000,photography,flexible,late,0.37,0.18,0.74,6,5,medium,1,0
smartphone,hp,129000,streaming,soon,late,0.11,0.06,0.98,1,5,medium,1,1
refrigerator,lg,59000,professional,flexible,late,0.46,0.17,0.88,1,5,medium,2,0
tablet,lenovo,33000,coding,soon,decision,0.62,0.59,0.22,6,2,high,7,1
television,oneplus,274000,office,flexible,awareness,0.37,0.16,0.68,4,3,medium,6,0
mouse,bose,9000,creative,immediate,early,0.85,0.78,0.13,5,3,medium,1,1
camera,oneplus,75000,home_use,flexible,decision,0.13,0.14,0.79,8,1,medium,7,0
keyboard,bosch,10000,photography,immediate,mid,0.14,0.06,0.94,5,1,low,5,1
microwave,lenovo,29000,study,exploring,early,0.23,0.08,0.93,8,3,low,4,1
headphones,asus,15000,coding,soon,early,0.38,0.57,0.62,5,4,medium,4,0
refrigerator,oneplus,58000,study,soon,late,0.52,0.41,0.68,4,3,high,8,0
mouse,oneplus,0,work_from_home,no_rush,early,0.74,0.96,0.09,3,2,medium,2,1
headphones,xiaomi,8000,entertainment,immediate,decision,0.59,0.51,0.31,3,1,low,3,1
monitor,xiaomi,13000,entertainment,exploring,mid,0.15,0.05,0.99,5,1,medium,4,0
headphones,canon,14000,home_use,soon,mid,0.47,0.68,0.48,1,1,low,9,1
air_conditioner,lg,41000,professional,no_rush,decision,0.67,0.74,0.16,3,3,low,7,1
smartphone,bosch,16000,fitness,flexible,early,0.28,0.15,0.91,1,2,medium,7,1
headphones,lenovo,10000,coding,flexible,early,0.05,0.1,0.91,4,3,high,10,0
microwave,bosch,10000,fitness,exploring,late,0.44,0.45,0.78,7,4,medium,9,1
smartwatch,lenovo,12000,home_use,flexible,decision,0.77,0.47,0.18,2,1,medium,7,1
headphones,bose,21000,photography,soon,decision,0.07,0.05,0.95,7,1,high,4,0
camera,apple,65000,fitness,no_rush,mid,0.61,0.39,0.6,3,1,low,1,1
tablet,dell,77000,photography,exploring,mid,0.59,0.82,0.07,2,3,high,7,0
refrigerator,xiaomi,22000,office,exploring,awareness,0.88,0.59,0.15,8,2,low,8,1
headphones,canon,10000,business,immediate,awareness,0.06,0.06,0.88,5,1,high,7,0
headphones,apple,10000,work_from_home,soon,awareness,0.31,0.09,0.8,5,4,medium,9,0
television,bosch,279000,streaming,exploring,mid,0.58,0.33,0.76,1,2,high,4,1
headphones,lenovo,38000,gaming,flexible,awareness,0.84,0.85,0.12,5,2,high,3,1
monitor,xiaomi,18000,casual,flexible,early,0.5,0.95,0.26,7,5,high,7,1
refrigerator,bosch,69000,creative,no_rush,decision,0.6,0.08,0.9,4,4,high,1,0
smartwatch,bose,22000,office,exploring,mid,0.05,0.09,0.94,4,5,medium,1,0
television,samsung,280000,professional,exploring,early,0.53,0.9,0.09,5,3,medium,9,1
air_conditioner,jbl,52000,streaming,immediate,decision,0.51,0.52,0.57,3,2,high,3,0
tablet,hp,51000,coding,soon,mid,0.45,0.34,0.74,7,2,high,9,0
washing_machine,whirlpool,31000,business,no_rush,late,0.27,0.24,0.35,6,3,medium,9,0
headphones,sony,30000,streaming,immediate,early,0.58,0.84,0.08,2,4,low,1,1
microwave,whirlpool,22000,office,no_rush,decision,0.27,0.18,0.83,7,3,low,8,0
television,bose,103000,home_use,flexible,mid,0.56,0.69,0.24,7,3,high,3,0
laptop,hp,88000,work_from_home,flexible,awareness,0.21,0.33,0.68,6,2,low,4,0
camera,samsung,41000,gaming,no_rush,early,0.72,0.37,0.61,3,3,high,3,0
smartwatch,apple,34000,home_use,soon,awareness,0.57,0.86,0.4,8,3,medium,9,1
laptop,oneplus,30000,photography,flexible,mid,0.77,0.86,0.29,3,4,medium,3,1
smartwatch,asus,19000,gaming,flexible,decision,0.19,0.36,0.71,7,4,low,5,1
mouse,sony,2000,study,exploring,late,0.92,0.57,0.26,5,2,low,2,0
washing_machine,canon,72000,photography,soon,awareness,0.89,0.95,0.2,6,5,medium,9,0
smartwatch,canon,32000,casual,immediate,decision,0.68,0.66,0.53,2,2,medium,7,0
microwave,jbl,12000,gaming,exploring,late,0.2,0.14,0.94,5,1,medium,7,0
refrigerator,bose,44000,work_from_home,immediate,awareness,0.29,0.41,0.69,7,1,medium,1,1
camera,lenovo,24000,gaming,immediate,decision,0.88,0.68,0.4,6,4,high,4,1
laptop,lenovo,60000,gaming,flexible,mid,0.05,0.05,0.99,3,4,high,4,0
smartwatch,xiaomi,30000,entertainment,exploring,decision,0.56,0.57,0.38,6,1,medium,8,1
speaker,hp,39000,photography,exploring,decision,0.28,0.55,0.9,2,5,low,4,0
microwave,whirlpool,21000,office,flexible,decision,0.73,0.31,0.27,3,4,high,3,1
headphones,sony,8000,travel,soon,awareness,0.56,0.84,0.2,8,5,medium,3,1
camera,bose,10000,gaming,immediate,awareness,0.87,0.91,0.1,3,3,low,6,1
speaker,hp,17000,business,soon,late,0.2,0.05,0.7,7,1,medium,4,1
washing_machine,whirlpool,16000,study,flexible,decision,0.37,0.28,0.58,8,2,high,2,0
keyboard,bosch,20000,fitness,immediate,late,0.82,0.41,0.28,6,4,medium,6,1
smartwatch,lenovo,5000,study,no_rush,awareness,0.96,0.96,0.1,3,2,high,4,1
laptop,xiaomi,112000,work_from_home,exploring,mid,0.48,0.61,0.65,2,4,low,2,1
laptop,oneplus,139000,professional,soon,early,0.11,0.25,0.51,2,2,medium,7,1
refrigerator,jbl,84000,gaming,exploring,mid,0.74,0.23,0.33,1,2,low,9,0
mouse,apple,4000,professional,immediate,decision,0.05,0.05,0.88,2,1,low,8,0
camera,whirlpool,143000,home_use,flexible,early,0.3,0.39,0.84,1,4,medium,3,0
keyboard,hp,13000,gaming,soon,early,0.69,0.67,0.67,7,5,high,1,0
speaker,sony,35000,streaming,flexible,mid,0.52,0.44,0.75,8,5,medium,2,0
smartwatch,oneplus,46000,office,immediate,early,0.33,0.2,0.8,5,3,low,8,1
mouse,sony,8000,streaming,no_rush,early,0.5,0.62,0.52,8,2,high,4,1
laptop,bosch,190000,streaming,exploring,awareness,0.81,0.93,0.28,6,2,medium,10,1
microwave,dell,3000,casual,soon,decision,0.93,0.77,0.51,2,4,low,2,1
laptop,bose,39000,study,exploring,decision,0.93,0.84,0.31,4,5,high,7,1
headphones,lenovo,9000,casual,flexible,decision,0.25,0.19,0.64,3,4,high,6,0
tablet,xiaomi,61000,office,exploring,late,0.97,0.85,0.1,2,3,medium,2,1
headphones,jbl,21000,streaming,no_rush,early,0.56,0.18,0.68,5,4,medium,8,1
smartphone,oneplus,94000,entertainment,soon,early,0.7,0.68,0.17,6,4,medium,4,0
headphones,canon,15000,business,no_rush,decision,0.33,0.3,0.28,2,3,low,4,0
mouse,apple,1000,travel,immediate,decision,0.61,0.7,0.07,7,3,medium,9,1
laptop,canon,188000,photography,immediate,mid,0.73,0.24,0.54,7,3,medium,5,0
laptop,lg,108000,photography,soon,decision,0.6,0.78,0.22,2,2,high,7,1
headphones,bosch,30000,coding,no_rush,late,0.53,0.46,0.54,2,5,high,2,0
television,lenovo,32000,coding,immediate,mid,0.1,0.05,0.83,6,5,medium,3,0
camera,hp,35000,streaming,exploring,early,0.78,0.45,0.18,3,4,high,3,0
mouse,apple,9000,office,immediate,decision,0.49,0.52,0.19,8,1,low,10,1
laptop,whirlpool,64000,casual,no_rush,decision,0.7,0.62,0.59,1,2,high,8,0
tablet,hp,35000,work_from_home,immediate,early,0.41,0.85,0.44,5,5,low,6,1
air_conditioner,bose,82000,entertainment,flexible,awareness,0.42,0.09,0.77,3,2,medium,10,0
smartwatch,asus,34000,gaming,soon,awareness,0.5,0.62,0.5,1,3,low,3,1
smartphone,samsung,91000,home_use,immediate,decision,0.78,0.9,0.12,7,4,medium,2,1
smartwatch,sony,31000,fitness,flexible,decision,0.24,0.41,0.82,8,2,medium,3,0
keyboard,asus,13000,office,exploring,decision,0.15,0.26,0.84,7,4,high,8,0
washing_machine,oneplus,68000,business,exploring,mid,0.08,0.27,0.68,2,5,low,9,1
tablet,asus,41000,coding,exploring,decision,0.92,0.89,0.08,5,3,low,10,1
smartwatch,apple,4000,office,soon,awareness,0.78,0.91,0.1,7,1,medium,10,1
air_conditioner,canon,46000,home_use,exploring,mid,0.36,0.22,0.67,2,2,high,8,0
microwave,xiaomi,15000,work_from_home,exploring,awareness,0.74,0.82,0.15,5,5,high,3,1
air_conditioner,xiaomi,67000,study,no_rush,decision,0.18,0.47,0.57,2,3,medium,8,1
tablet,samsung,22000,business,immediate,early,0.9,0.79,0.55,2,1,high,3,1
washing_machine,lg,33000,fitness,exploring,decision,0.87,0.81,0.28,4,4,low,2,1
microwave,oneplus,23000,business,no_rush,early,0.19,0.16,0.85,8,3,medium,8,0
keyboard,xiaomi,1000,professional,flexible,late,0.39,0.8,0.51,7,5,low,10,1
refrigerator,whirlpool,24000,streaming,immediate,early,0.73,0.34,0.82,3,5,high,6,1
headphones,lg,0,business,soon,mid,0.09,0.56,0.85,2,5,low,2,1
speaker,bose,39000,entertainment,flexible,early,0.06,0.05,0.85,4,1,low,1,0
smartphone,samsung,24000,fitness,immediate,early,0.46,0.71,0.08,7,3,low,2,0
smartwatch,canon,8000,professional,no_rush,awareness,0.81,0.79,0.25,7,2,medium,8,1
keyboard,bosch,0,study,no_rush,awareness,0.09,0.05,0.8,3,4,high,9,0
television,xiaomi,166000,study,exploring,awareness,0.48,0.25,0.44,3,5,low,2,0
monitor,lg,34000,business,no_rush,decision,0.8,0.85,0.32,7,1,medium,4,1
microwave,xiaomi,5000,photography,exploring,early,0.43,0.68,0.47,6,3,low,7,1
monitor,bosch,35000,creative,soon,decision,0.53,0.43,0.49,3,5,high,7,1
air_conditioner,lenovo,86000,study,soon,mid,0.61,0.69,0.54,2,4,low,4,1
monitor,sony,35000,study,immediate,late,0.05,0.05,0.99,2,3,medium,7,0
speaker,bose,47000,gaming,flexible,early,0.66,0.82,0.15,8,3,medium,1,0
smartwatch,bose,22000,gaming,soon,mid,0.11,0.08,0.8,5,3,low,3,0
smartphone,hp,147000,streaming,no_rush,decision,0.12,0.09,0.75,7,1,medium,5,0
speaker,canon,47000,professional,immediate,early,0.21,0.26,0.59,2,3,medium,9,1
headphones,canon,40000,home_use,flexible,decision,0.65,0.69,0.27,3,1,low,6,0
mouse,canon,10000,casual,no_rush,late,0.72,0.83,0.19,4,4,medium,4,1
mouse,oneplus,4000,gaming,exploring,mid,0.05,0.05,0.89,6,4,medium,9,0
laptop,xiaomi,51000,coding,no_rush,late,0.2,0.53,0.69,4,3,medium,7,0
monitor,dell,41000,coding,no_rush,decision,0.54,0.71,0.25,5,1,medium,8,1
keyboard,oneplus,14000,casual,flexible,awareness,0.49,0.39,0.44,1,4,medium,6,0
camera,apple,144000,fitness,flexible,mid,0.43,0.8,0.29,6,3,low,1,1
camera,xiaomi,191000,photography,exploring,early,0.68,0.47,0.7,8,4,low,1,1
mouse,jbl,8000,fitness,soon,mid,0.97,0.88,0.08,5,3,medium,7,1
television,apple,40000,home_use,exploring,late,0.61,0.7,0.36,8,3,low,8,0
laptop,lg,100000,professional,no_rush,mid,0.67,0.21,0.76,6,1,medium,6,0
headphones,lenovo,30000,professional,exploring,awareness,0.05,0.05,0.99,1,2,medium,5,0
washing_machine,hp,45000,professional,immediate,mid,0.46,0.57,0.69,8,1,high,6,1
microwave,oneplus,16000,creative,no_rush,late,0.9,0.68,0.28,2,4,high,9,1
smartwatch,whirlpool,40000,travel,exploring,early,0.73,0.58,0.43,7,2,high,2,0
television,bosch,27000,fitness,soon,late,0.54,0.47,0.67,1,4,medium,5,1
headphones,hp,0,creative,exploring,awareness,0.59,0.7,0.23,7,1,high,10,1
television,whirlpool,227000,streaming,no_rush,early,0.84,0.77,0.21,1,1,low,3,1
washing_machine,apple,75000,coding,immediate,awareness,0.2,0.13,0.74,4,5,low,5,1
smartwatch,dell,49000,office,no_rush,awareness,0.31,0.54,0.09,3,2,high,4,0
mouse,lg,5000,streaming,immediate,awareness,0.05,0.05,0.99,8,4,low,3,0
laptop,lg,56000,fitness,flexible,awareness,0.23,0.24,0.56,7,3,low,2,0
laptop,jbl,80000,photography,soon,late,0.35,0.29,0.39,8,1,medium,6,0
tablet,lenovo,56000,coding,soon,awareness,0.27,0.18,0.84,5,4,medium,6,0
smartphone,oneplus,77000,entertainment,exploring,late,0.73,0.49,0.23,6,1,high,1,1
washing_machine,hp,60000,casual,no_rush,early,0.77,0.83,0.2,6,2,medium,2,1
washing_machine,lenovo,50000,gaming,soon,late,0.54,0.82,0.08,4,5,high,4,1
camera,xiaomi,198000,professional,exploring,early,0.58,0.7,0.21,7,2,high,9,1
camera,oneplus,70000,professional,flexible,decision,0.49,0.25,0.62,3,5,low,7,0
tablet,sony,46000,coding,immediate,awareness,0.07,0.25,0.68,1,4,medium,8,0
keyboard,sony,18000,entertainment,flexible,late,0.14,0.37,0.5,2,3,medium,1,0
keyboard,apple,20000,professional,no_rush,awareness,0.22,0.69,0.85,3,5,medium,9,0
keyboard,bosch,11000,professional,exploring,early,0.34,0.43,0.92,3,2,high,8,0
keyboard,sony,9000,gaming,soon,early,0.07,0.05,0.94,4,4,low,3,0
laptop,dell,125000,work_from_home,flexible,mid,0.21,0.48,0.79,8,5,low,7,0
laptop,oneplus,141000,creative,soon,mid,0.06,0.18,0.91,7,4,low,10,1
microwave,hp,21000,office,flexible,awareness,0.61,0.81,0.39,2,1,low,7,0
tablet,lenovo,75000,study,exploring,late,0.49,0.29,0.74,6,3,high,4,0
television,lenovo,253000,business,no_rush,decision,0.16,0.05,0.9,3,3,medium,4,0
tablet,samsung,50000,office,soon,decision,0.53,0.39,0.86,4,3,medium,10,1
microwave,canon,14000,streaming,exploring,early,0.08,0.2,0.89,6,4,high,9,0
air_conditioner,bosch,71000,work_from_home,exploring,decision,0.67,0.34,0.72,5,1,low,4,1
television,jbl,280000,fitness,exploring,late,0.1,0.06,0.93,1,5,high,5,0
monitor,lg,38000,business,soon,decision,0.05,0.05,0.8,1,2,low,5,0
smartwatch,xiaomi,36000,home_use,immediate,late,0.34,0.61,0.69,4,4,medium,6,0
tablet,bosch,72000,study,immediate,mid,0.65,0.88,0.19,4,5,medium,5,0
air_conditioner,dell,28000,photography,flexible,awareness,0.33,0.55,0.46,7,4,medium,6,1
camera,sony,150000,travel,no_rush,late,0.51,0.71,0.37,5,3,medium,6,1
air_conditioner,hp,26000,fitness,no_rush,awareness,0.59,0.39,0.59,6,1,high,6,0
speaker,oneplus,31000,travel,flexible,mid,0.3,0.11,0.79,5,2,medium,9,1
speaker,apple,36000,business,no_rush,early,0.31,0.05,0.87,8,5,medium,5,1
camera,canon,164000,gaming,no_rush,mid,0.68,0.19,0.45,1,4,high,7,0
camera,hp,189000,gaming,flexible,decision,0.68,0.41,0.3,1,2,low,9,0
speaker,oneplus,35000,creative,exploring,mid,0.3,0.63,0.76,1,1,low,4,0
camera,sony,189000,travel,soon,decision,0.28,0.08,0.75,3,3,medium,10,1
smartwatch,samsung,19000,creative,flexible,mid,0.55,0.35,0.4,5,5,low,4,0
camera,lg,30000,streaming,no_rush,early,0.26,0.8,0.55,4,1,high,1,0
keyboard,bosch,3000,gaming,no_rush,decision,0.41,0.64,0.6,6,4,low,9,0
laptop,whirlpool,167000,fitness,exploring,decision,0.73,0.79,0.07,7,5,medium,10,0
headphones,apple,19000,gaming,immediate,early,0.53,0.74,0.51,5,1,low,6,1
microwave,samsung,23000,work_from_home,exploring,early,0.97,0.99,0.03,2,2,high,1,1
smartphone,hp,130000,coding,exploring,decision,0.16,0.51,0.67,7,4,low,9,1
tablet,hp,37000,photography,immediate,awareness,0.39,0.68,0.26,5,2,high,6,1
tablet,bose,50000,business,no_rush,awareness,0.57,0.12,0.91,1,3,high,5,0
television,canon,32000,gaming,exploring,late,0.87,0.7,0.35,3,4,medium,7,1
air_conditioner,lenovo,20000,creative,exploring,early,0.54,0.78,0.25,3,4,low,6,0
monitor,hp,75000,work_from_home,soon,decision,0.88,0.92,0.12,7,5,low,2,1
washing_machine,whirlpool,76000,coding,no_rush,late,0.6,0.72,0.34,8,5,high,6,0
refrigerator,lg,93000,photography,soon,early,0.77,0.89,0.1,5,4,medium,4,1
refrigerator,bose,45000,casual,no_rush,awareness,0.3,0.06,0.88,7,5,low,1,1
laptop,oneplus,68000,gaming,flexible,early,0.22,0.15,0.87,8,1,low,9,0
camera,samsung,29000,gaming,soon,mid,0.78,0.92,0.11,8,1,low,2,1
mouse,hp,7000,photography,immediate,late,0.9,0.85,0.33,5,2,medium,7,0
headphones,asus,24000,creative,no_rush,mid,0.84,0.91,0.16,5,4,low,5,0
air_conditioner,samsung,25000,fitness,immediate,decision,0.05,0.07,0.97,6,1,low,9,1
washing_machine,dell,41000,study,soon,early,0.3,0.18,0.77,2,1,medium,7,0
tablet,hp,31000,office,exploring,awareness,0.23,0.57,0.2,1,3,medium,9,0
mouse,dell,7000,coding,no_rush,awareness,0.92,0.98,0.22,7,3,high,3,1
refrigerator,samsung,87000,work_from_home,exploring,mid,0.95,0.92,0.08,5,5,low,8,1
smartwatch,lenovo,8000,travel,immediate,awareness,0.88,0.96,0.11,3,3,high,1,1
monitor,oneplus,31000,travel,immediate,awareness,0.37,0.73,0.46,7,2,high,7,1
refrigerator,oneplus,57000,travel,immediate,early,0.79,0.69,0.16,3,1,high,9,1
laptop,jbl,136000,streaming,exploring,late,0.42,0.72,0.83,8,1,medium,7,0
washing_machine,jbl,18000,casual,no_rush,mid,0.23,0.2,0.7,7,2,medium,9,0
mouse,oneplus,10000,professional,soon,late,0.96,0.95,0.05,2,4,low,5,1
monitor,hp,27000,work_from_home,soon,decision,0.15,0.05,0.98,4,1,medium,6,0
tablet,bosch,80000,office,no_rush,early,0.66,0.38,0.71,5,5,low,2,1
speaker,bosch,13000,home_use,no_rush,decision,0.82,0.77,0.14,8,4,medium,1,0
smartwatch,hp,25000,casual,exploring,awareness,0.91,0.85,0.2,3,2,low,5,1
laptop,hp,81000,entertainment,soon,early,0.93,0.95,0.05,7,5,high,6,1
smartwatch,asus,32000,work_from_home,flexible,mid,0.28,0.06,0.85,3,5,medium,3,0
headphones,xiaomi,13000,professional,no_rush,late,0.42,0.28,0.74,7,4,medium,10,0
smartphone,apple,76000,office,no_rush,awareness,0.14,0.05,0.98,2,2,high,10,0
speaker,xiaomi,29000,business,immediate,mid,0.14,0.24,0.77,6,3,high,8,1
tablet,asus,79000,work_from_home,immediate,decision,0.28,0.63,0.7,5,2,high,10,0
washing_machine,lg,47000,photography,no_rush,mid,0.89,0.5,0.75,4,1,low,4,1
monitor,bose,60000,study,no_rush,awareness,0.67,0.58,0.38,2,1,high,5,1
camera,asus,191000,business,flexible,decision,0.18,0.13,0.98,5,2,high,3,1
tablet,samsung,65000,creative,soon,awareness,0.97,0.98,0.03,4,2,high,3,0
laptop,asus,27000,travel,no_rush,mid,0.93,0.93,0.12,4,1,low,3,1
camera,lenovo,96000,entertainment,exploring,awareness,0.53,0.8,0.17,4,2,high,10,1
smartphone,whirlpool,125000,photography,immediate,mid,0.51,0.55,0.3,4,2,high,5,1
speaker,hp,7000,office,flexible,decision,0.25,0.44,0.7,8,3,high,5,1
speaker,whirlpool,8000,office,soon,late,0.61,0.64,0.26,1,5,medium,3,1
microwave,asus,27000,photography,no_rush,mid,0.88,0.92,0.05,3,3,medium,3,1
microwave,sony,11000,work_from_home,soon,mid,0.89,0.82,0.04,7,5,low,6,1
smartwatch,jbl,40000,business,immediate,early,0.42,0.36,0.64,2,2,low,3,0
smartphone,asus,94000,business,flexible,decision,0.34,0.15,0.91,4,5,medium,7,0
microwave,bose,13000,home_use,no_rush,awareness,0.34,0.86,0.17,4,3,medium,5,1
microwave,samsung,22000,study,exploring,awareness,0.66,0.48,0.55,7,1,low,10,0
speaker,bosch,23000,coding,flexible,decision,0.5,0.66,0.42,2,5,low,4,1
speaker,bosch,30000,fitness,immediate,mid,0.97,0.71,0.13,2,1,medium,2,1
microwave,oneplus,25000,gaming,no_rush,late,0.43,0.8,0.32,2,3,high,6,0
camera,whirlpool,24000,photography,soon,early,0.38,0.31,0.84,1,4,low,4,0
mouse,oneplus,2000,office,exploring,early,0.9,0.86,0.29,7,4,low,10,1
tablet,whirlpool,67000,gaming,exploring,awareness,0.14,0.32,0.69,6,1,low,9,0
speaker,oneplus,21000,coding,no_rush,decision,0.2,0.46,0.28,7,2,high,4,1
keyboard,lg,8000,creative,soon,early,0.09,0.18,0.79,2,3,high,3,0
television,bosch,88000,streaming,soon,decision,0.35,0.16,0.56,8,1,high,1,0
air_conditioner,samsung,79000,fitness,soon,late,0.14,0.29,0.8,4,1,low,2,0
laptop,bose,184000,professional,no_rush,early,0.63,0.82,0.45,4,4,high,4,0
monitor,asus,21000,photography,immediate,decision,0.59,0.38,0.31,2,4,low,1,1
refrigerator,asus,35000,streaming,soon,awareness,0.33,0.75,0.26,7,3,high,7,1
television,xiaomi,105000,home_use,soon,awareness,0.65,0.72,0.25,7,3,medium,4,1
headphones,canon,37000,photography,immediate,awareness,0.3,0.68,0.62,8,5,medium,10,0
washing_machine,canon,20000,streaming,soon,decision,0.84,0.35,0.7,6,1,medium,9,1
smartwatch,lg,9000,creative,flexible,mid,0.1,0.11,0.97,5,2,medium,10,0
microwave,xiaomi,17000,business,no_rush,mid,0.79,0.87,0.29,4,5,medium,8,0
smartphone,sony,87000,travel,exploring,mid,0.19,0.06,0.7,7,2,medium,7,1
keyboard,xiaomi,2000,work_from_home,immediate,early,0.19,0.15,0.73,6,3,high,9,0
keyboard,canon,15000,travel,immediate,decision,0.87,0.75,0.28,2,2,high,7,0
monitor,samsung,73000,creative,no_rush,decision,0.46,0.49,0.81,7,2,high,1,0
refrigerator,asus,68000,creative,immediate,awareness,0.9,0.87,0.17,8,3,low,7,1
refrigerator,sony,78000,entertainment,immediate,early,0.43,0.63,0.7,3,5,medium,3,1
smartwatch,oneplus,46000,office,soon,early,0.5,0.45,0.49,6,5,medium,1,1
air_conditioner,whirlpool,20000,work_from_home,no_rush,early,0.4,0.24,0.27,6,5,high,4,0
smartwatch,hp,39000,photography,no_rush,early,0.14,0.16,0.92,5,2,high,8,0
smartphone,bose,100000,casual,no_rush,early,0.24,0.85,0.33,5,3,high,5,0
monitor,samsung,65000,photography,exploring,mid,0.23,0.28,0.44,7,1,high,7,1
camera,samsung,116000,casual,no_rush,early,0.82,0.88,0.09,6,1,medium,3,0
washing_machine,xiaomi,43000,photography,flexible,mid,0.05,0.05,0.95,8,1,medium,4,0
mouse,xiaomi,8000,business,immediate,mid,0.6,0.91,0.27,5,1,high,9,0
refrigerator,lenovo,21000,professional,immediate,awareness,0.94,0.86,0.38,2,3,high,9,0
microwave,bose,20000,fitness,immediate,awareness,0.14,0.32,0.83,1,4,low,9,0
washing_machine,oneplus,61000,work_from_home,exploring,early,0.86,0.83,0.49,4,4,medium,2,1
refrigerator,sony,61000,gaming,immediate,early,0.07,0.27,0.82,4,1,low,4,0
monitor,canon,74000,office,no_rush,mid,0.49,0.66,0.08,5,4,low,10,1
keyboard,bosch,10000,streaming,flexible,awareness,0.56,0.4,0.33,4,3,low,7,1
mouse,sony,10000,photography,exploring,late,0.75,0.94,0.26,2,3,high,1,0
refrigerator,lg,94000,entertainment,no_rush,decision,0.52,0.8,0.27,2,4,high,4,1
television,samsung,38000,gaming,no_rush,mid,0.91,0.99,0.05,5,5,low,4,1
television,apple,196000,study,flexible,early,0.59,0.93,0.18,7,2,low,5,0
refrigerator,lenovo,22000,home_use,no_rush,decision,0.89,0.65,0.85,6,4,low,4,0
tablet,bosch,20000,coding,soon,mid,0.76,0.85,0.11,4,3,medium,8,1
tablet,bose,26000,professional,no_rush,mid,0.68,0.78,0.25,7,1,low,3,1
television,hp,280000,study,immediate,awareness,0.38,0.17,0.89,4,1,low,6,1
refrigerator,bosch,20000,creative,flexible,awareness,0.9,0.95,0.19,5,1,low,2,1
smartphone,sony,150000,professional,soon,late,0.81,0.47,0.48,8,1,low,4,1
mouse,hp,8000,work_from_home,immediate,mid,0.29,0.09,0.73,8,2,high,10,0
speaker,dell,13000,professional,no_rush,awareness,0.8,0.73,0.33,6,1,medium,7,1
speaker,xiaomi,47000,creative,exploring,decision,0.77,0.55,0.31,2,2,low,8,1
